n_tokens,n_chars,n_lines,valid_chunk
101,315,7,False
97,315,7,False
98,331,7,False
96,316,7,False
95,316,7,False
87,307,7,False
98,336,7,False
95,332,7,False
107,349,7,False
99,324,7,False
89,308,7,False
101,333,7,False
88,314,7,False
92,324,7,False
102,314,7,False
107,330,7,False
101,316,7,False
98,320,7,False
98,320,7,False
86,318,7,False
93,310,7,False
99,324,7,False
90,311,7,False
93,305,7,False
91,307,7,False
94,321,7,False
87,331,7,False
94,327,7,False
92,309,7,False
91,315,7,False
98,329,7,False
92,315,7,False
97,318,7,False
94,308,7,False
90,304,7,False
91,301,7,False
175,591,14,True
92,305,7,False
99,328,7,False
109,318,7,False
92,300,7,False
98,329,7,False
94,322,7,False
96,305,7,False
94,326,7,False
102,319,7,False
81,308,7,False
91,326,7,False
101,344,7,False
98,335,8,False
93,318,7,False
87,306,7,False
93,305,8,False
97,329,8,False
86,317,6,False
97,342,9,False
94,335,8,False
97,316,9,False
91,313,7,False
89,308,8,False
87,305,7,False
91,309,8,False
86,310,8,False
94,317,8,False
99,348,8,False
89,302,7,False
97,321,8,False
78,320,6,False
99,334,8,False
95,340,8,False
103,359,8,False
86,313,6,False
95,340,6,False
96,315,6,False
86,304,7,False
98,360,7,False
86,308,5,False
84,314,5,False
91,351,6,False
98,352,6,False
86,333,5,False
85,311,5,False
89,350,6,False
87,334,5,False
91,313,5,False
92,334,5,False
95,345,6,False
90,336,5,False
86,325,5,False
86,323,6,False
90,339,5,False
88,335,5,False
89,341,6,False
94,327,5,False
145,553,9,True
265,991,15,True
86,336,8,False
90,303,7,False
93,341,7,False
90,335,8,False
98,308,8,False
90,318,8,False
95,323,9,False
86,319,7,False
97,345,8,False
90,333,8,False
90,314,8,False
91,350,7,False
103,319,8,False
96,350,8,False
96,337,7,False
84,322,8,False
90,321,7,False
90,335,8,False
86,328,8,False
93,308,8,False
91,311,7,False
87,307,7,False
98,321,8,False
79,308,7,False
100,352,9,False
105,329,9,False
93,313,8,False
94,306,8,False
94,323,8,False
98,318,8,False
92,338,7,False
85,308,7,False
94,342,8,False
79,315,8,False
107,306,8,False
87,301,7,False
78,303,7,False
91,499,8,False
97,339,7,False
84,339,5,False
88,333,5,False
88,310,5,False
103,337,6,False
96,327,7,False
101,350,6,False
100,362,6,False
96,341,5,False
112,344,6,False
93,313,5,False
93,336,6,False
84,307,6,False
100,328,7,False
88,324,6,False
99,313,6,False
90,309,5,False
102,361,6,False
90,312,6,False
92,329,6,False
91,310,6,False
108,347,7,False
91,312,5,False
105,367,8,False
99,336,7,False
91,339,5,False
89,329,5,False
94,324,8,False
81,309,6,False
100,332,10,False
400,1342,29,True
94,346,7,False
400,1304,20,True
81,346,7,False
105,330,9,False
83,306,8,False
86,301,8,False
86,317,7,False
89,346,8,False
81,310,8,False
93,312,6,False
92,349,8,False
94,326,9,False
85,316,7,False
86,320,7,False
97,346,9,False
93,317,8,False
94,334,8,False
85,311,7,False
91,305,6,False
98,342,8,False
94,337,9,False
97,343,9,False
97,346,8,False
90,319,6,False
99,327,8,False
97,322,6,False
83,319,7,False
97,349,7,False
89,315,6,False
92,314,7,False
93,322,8,False
89,330,9,False
86,307,8,False
91,328,7,False
100,346,10,False
90,315,8,False
95,335,9,False
82,311,6,False
100,339,9,False
95,307,6,False
99,343,8,False
92,311,7,False
283,972,17,True
101,344,9,False
115,435,7,False
191,585,16,True
94,324,7,False
113,349,7,False
101,322,7,False
90,315,5,False
113,356,7,False
108,313,6,False
116,369,8,False
113,339,7,False
94,319,5,False
105,324,6,False
164,553,13,True
80,315,6,False
98,305,5,False
99,334,6,False
99,340,5,False
93,323,5,False
91,303,6,False
198,714,16,True
93,326,7,False
95,343,8,False
99,305,8,False
84,302,7,False
103,330,7,False
89,310,7,False
102,308,7,False
94,307,7,False
89,318,6,False
109,344,8,False
93,304,7,False
95,336,8,False
81,304,8,False
93,318,7,False
90,309,8,False
98,301,7,False
95,343,7,False
93,304,6,False
91,317,7,False
81,303,7,False
104,348,8,False
100,328,8,False
93,314,7,False
103,350,8,False
88,309,8,False
91,302,6,False
104,327,9,False
73,308,6,False
98,347,6,False
97,317,7,False
98,305,6,False
118,367,6,False
94,328,6,False
107,368,6,False
115,358,7,False
97,330,6,False
108,355,7,False
