n_tokens,n_chars,n_lines,valid_chunk
299,1019,18,True
304,1016,18,True
301,998,19,True
288,976,19,True
308,1019,20,True
313,994,19,True
313,979,18,True
327,1012,19,True
322,988,19,True
316,990,19,True
316,1010,19,True
287,956,18,True
23,77,4,False
317,1002,21,True
316,965,21,True
330,968,22,True
343,1005,22,True
329,979,22,True
329,998,21,True
321,1003,22,True
201,681,15,True
265,987,21,True
275,996,22,True
292,1015,23,True
280,980,23,True
282,978,22,True
291,1018,23,True
287,991,22,True
294,1008,22,True
290,993,21,True
294,1017,21,True
285,984,20,True
297,1019,20,True
294,977,19,True
296,995,19,True
301,998,21,True
299,976,20,True
301,998,21,True
296,994,21,True
292,1012,22,True
284,979,21,True
295,1017,22,True
296,1020,22,True
292,1008,21,True
278,984,21,True
279,977,21,True
284,985,21,True
296,1017,22,True
289,1013,22,True
280,993,21,True
285,983,21,True
282,992,21,True
286,996,21,True
284,998,21,True
275,1008,21,True
273,1012,21,True
268,991,21,True
258,1006,21,True
268,1013,22,True
269,1014,23,True
264,1013,23,True
270,1016,23,True
262,984,22,True
265,1002,22,True
267,1000,22,True
262,991,22,True
260,994,21,True
267,993,20,True
272,994,20,True
271,975,19,True
288,996,19,True
283,993,19,True
273,970,18,True
275,961,17,True
286,1010,18,True
276,971,17,True
292,1019,18,True
299,1015,18,True
300,1010,18,True
301,997,17,True
287,991,17,True
294,1015,17,True
285,987,16,True
282,987,15,True
5,14,1,False
280,987,18,True
285,1021,18,True
253,894,17,True
2,13,1,False
319,1016,23,True
308,1012,23,True
297,982,22,True
298,1000,22,True
293,988,22,True
299,1018,21,True
192,663,17,True
293,989,18,True
298,1003,19,True
289,992,19,True
284,979,18,True
294,1020,20,True
291,1014,20,True
283,989,21,True
275,989,22,True
266,959,22,True
239,918,20,True
193,730,18,True
292,983,21,True
293,1007,21,True
271,958,19,True
282,1006,18,True
271,991,17,True
265,999,17,True
278,1000,18,True
2,12,1,False
261,998,22,True
257,1004,23,True
261,1000,23,True
258,985,23,True
271,1019,24,True
275,1015,24,True
272,949,24,True
276,981,24,True
273,988,23,True
274,1018,23,True
225,659,14,True
277,1020,25,True
266,984,24,True
20,73,4,False
290,1002,18,True
277,971,17,True
277,981,16,True
258,975,16,True
274,1010,17,True
238,903,16,True
174,630,14,True
293,1018,21,True
289,990,20,True
295,1015,21,True
295,1019,22,True
293,1004,21,True
297,1010,23,True
287,978,22,True
285,984,22,True
286,1020,23,True
280,1010,23,True
272,988,23,True
273,995,23,True
270,1000,24,True
264,973,23,True
267,1001,23,True
275,1016,23,True
283,1021,23,True
269,980,22,True
277,1017,22,True
277,1003,21,True
281,1014,21,True
284,1011,21,True
279,985,21,True
281,975,21,True
298,1019,22,True
299,1018,22,True
