n_tokens,n_chars,n_lines,valid_chunk
95,315,7,False
94,315,7,False
95,331,7,False
100,316,7,False
91,316,7,False
90,307,7,False
97,336,7,False
95,332,7,False
111,349,7,False
103,324,7,False
92,308,7,False
100,333,7,False
87,314,7,False
92,324,7,False
99,314,7,False
106,330,7,False
101,316,7,False
96,320,7,False
98,320,7,False
87,318,7,False
94,310,7,False
91,324,7,False
87,311,7,False
94,305,7,False
94,307,7,False
97,321,7,False
90,331,7,False
91,327,7,False
90,309,7,False
97,315,7,False
92,329,7,False
87,315,7,False
95,318,7,False
92,308,7,False
90,304,7,False
90,301,7,False
172,591,14,True
93,305,7,False
100,328,7,False
101,318,7,False
93,300,7,False
97,329,7,False
90,322,7,False
92,305,7,False
94,326,7,False
105,319,7,False
79,308,7,False
91,326,7,False
101,344,7,False
97,335,8,False
89,318,7,False
85,306,7,False
93,305,8,False
97,329,8,False
88,317,6,False
95,342,9,False
89,335,8,False
96,316,9,False
86,313,7,False
85,308,8,False
87,305,7,False
91,309,8,False
83,310,8,False
93,317,8,False
98,348,8,False
86,302,7,False
96,321,8,False
80,320,6,False
97,334,8,False
93,340,8,False
95,359,8,False
78,313,6,False
93,340,6,False
96,315,6,False
84,304,7,False
94,360,7,False
86,308,5,False
82,314,5,False
88,351,6,False
99,352,6,False
78,333,5,False
82,311,5,False
90,350,6,False
82,334,5,False
90,313,5,False
88,334,5,False
92,345,6,False
87,336,5,False
86,325,5,False
80,323,6,False
90,339,5,False
83,335,5,False
86,341,6,False
84,327,5,False
140,553,9,True
253,991,15,True
80,336,8,False
91,303,7,False
90,341,7,False
93,335,8,False
97,308,8,False
84,318,8,False
96,323,9,False
85,319,7,False
93,345,8,False
90,333,8,False
88,314,8,False
90,350,7,False
97,319,8,False
93,350,8,False
95,337,7,False
84,322,8,False
92,321,7,False
79,335,8,False
86,328,8,False
92,308,8,False
87,311,7,False
88,307,7,False
96,321,8,False
76,308,7,False
99,352,9,False
98,329,9,False
97,313,8,False
91,306,8,False
92,323,8,False
100,318,8,False
87,338,7,False
81,308,7,False
90,342,8,False
80,315,8,False
104,306,8,False
84,301,7,False
75,303,7,False
175,499,8,True
87,339,7,False
84,339,5,False
84,333,5,False
86,310,5,False
98,337,6,False
93,327,7,False
98,350,6,False
96,362,6,False
99,341,5,False
107,344,6,False
91,313,5,False
91,336,6,False
80,307,6,False
90,328,7,False
86,324,6,False
100,313,6,False
88,309,5,False
101,361,6,False
85,312,6,False
90,329,6,False
82,310,6,False
103,347,7,False
86,312,5,False
105,367,8,False
88,336,7,False
88,339,5,False
83,329,5,False
93,324,8,False
78,309,6,False
97,332,10,False
391,1342,29,True
83,346,7,False
374,1304,20,True
80,346,7,False
99,330,9,False
83,306,8,False
85,301,8,False
87,317,7,False
88,346,8,False
80,310,8,False
89,312,6,False
88,349,8,False
94,326,9,False
80,316,7,False
83,320,7,False
99,346,9,False
97,317,8,False
91,334,8,False
88,311,7,False
89,305,6,False
95,342,8,False
97,337,9,False
97,343,9,False
96,346,8,False
88,319,6,False
95,327,8,False
92,322,6,False
81,319,7,False
97,349,7,False
89,315,6,False
92,314,7,False
91,322,8,False
88,330,9,False
84,307,8,False
95,328,7,False
97,346,10,False
89,315,8,False
90,335,9,False
85,311,6,False
98,339,9,False
95,307,6,False
98,343,8,False
97,311,7,False
279,972,17,True
99,344,9,False
111,435,7,False
172,585,16,True
93,324,7,False
108,349,7,False
94,322,7,False
75,315,5,False
104,356,7,False
99,313,6,False
113,369,8,False
115,339,7,False
90,319,5,False
98,324,6,False
162,553,13,True
82,315,6,False
98,305,5,False
99,334,6,False
105,340,5,False
87,323,5,False
86,303,6,False
198,714,16,True
88,326,7,False
94,343,8,False
95,305,8,False
83,302,7,False
101,330,7,False
92,310,7,False
106,308,7,False
92,307,7,False
89,318,6,False
106,344,8,False
98,304,7,False
97,336,8,False
83,304,8,False
93,318,7,False
86,309,8,False
95,301,7,False
95,343,7,False
93,304,6,False
79,317,7,False
83,303,7,False
101,348,8,False
95,328,8,False
90,314,7,False
106,350,8,False
88,309,8,False
92,302,6,False
96,327,9,False
75,308,6,False
96,347,6,False
94,317,7,False
97,305,6,False
117,367,6,False
93,328,6,False
105,368,6,False
112,358,7,False
97,330,6,False
107,355,7,False
108,356,7,False
108,322,5,False
97,333,5,False
91,308,5,False
142,461,7,True
97,311,8,False
163,475,10,True
94,327,8,False
76,319,6,False
80,314,5,False
82,316,5,False
83,332,5,False
95,365,6,False
83,334,5,False
79,344,5,False
86,325,5,False
445,1538,32,True
83,309,8,False
175,499,8,True
89,328,5,False
94,335,6,False
101,310,5,False
106,342,5,False
