n_uni_tokens,n_bpe_tokens,n_chars,n_lines,valid_uni_chunk,valid_bpe_chunk
105,107,368,6,False,False
112,115,358,7,False,False
97,97,330,6,False,False
107,108,355,7,False,False
108,112,356,7,False,False
108,111,322,5,False,False
97,96,333,5,False,False
91,91,308,5,False,False
142,151,461,7,True,True
97,85,311,8,False,False
163,149,475,10,True,True
94,89,327,8,False,False
76,83,319,6,False,False
80,87,314,5,False,False
82,83,316,5,False,False
83,88,332,5,False,False
95,97,365,6,False,False
83,90,334,5,False,False
79,87,344,5,False,False
86,89,325,5,False,False
445,451,1538,32,True,True
83,87,309,8,False,False
175,91,499,8,True,False
89,90,328,5,False,False
94,97,335,6,False,False
101,104,310,5,False,False
106,105,342,5,False,False
104,105,344,6,False,False
100,106,335,6,False,False
104,104,344,5,False,False
109,112,353,6,False,False
312,323,1054,16,True,True
83,81,304,6,False,False
92,97,311,7,False,False
83,83,331,6,False,False
94,93,340,7,False,False
97,100,327,7,False,False
81,88,320,7,False,False
93,94,324,7,False,False
94,99,332,7,False,False
87,90,302,8,False,False
100,102,361,8,False,False
84,91,332,8,False,False
81,84,321,7,False,False
90,90,312,7,False,False
97,98,340,7,False,False
102,102,339,9,False,False
87,89,347,7,False,False
117,112,334,7,False,False
96,95,345,7,False,False
87,92,338,7,False,False
94,97,336,7,False,False
93,93,307,7,False,False
441,463,1655,40,True,True
262,277,908,20,True,True
85,89,332,8,False,False
83,86,334,8,False,False
89,91,333,7,False,False
91,97,331,7,False,False
93,95,331,7,False,False
88,86,309,7,False,False
88,90,316,8,False,False
94,96,324,7,False,False
82,88,330,7,False,False
94,99,329,8,False,False
104,102,342,9,False,False
86,90,309,7,False,False
95,95,349,7,False,False
83,89,316,7,False,False
83,87,315,7,False,False
75,79,309,5,False,False
92,99,312,6,False,False
123,130,455,10,False,True
329,346,1141,27,True,True
175,91,499,8,True,False
212,213,743,17,True,True
85,91,304,10,False,False
78,78,303,6,False,False
78,81,307,6,False,False
84,91,345,7,False,False
87,93,316,7,False,False
98,102,348,8,False,False
96,97,346,7,False,False
90,90,342,7,False,False
101,104,339,9,False,False
98,98,343,7,False,False
87,87,314,6,False,False
95,95,321,7,False,False
83,86,302,7,False,False
94,98,328,9,False,False
88,89,314,7,False,False
87,93,313,6,False,False
93,98,340,9,False,False
95,94,305,6,False,False
90,92,305,8,False,False
111,111,336,8,False,False
88,88,313,8,False,False
90,91,313,7,False,False
82,82,302,7,False,False
86,90,309,8,False,False
93,94,325,8,False,False
84,88,317,8,False,False
88,87,308,7,False,False
383,390,1282,28,True,True
90,96,344,8,False,False
87,89,308,8,False,False
86,88,316,7,False,False
91,94,309,8,False,False
75,78,312,7,False,False
85,90,311,7,False,False
103,102,322,7,False,False
96,94,333,8,False,False
225,231,799,21,True,True
96,105,411,10,False,False
82,86,338,9,False,False
