n_tokens,n_chars,n_lines,valid_chunk
162,612,13,True
178,626,13,True
174,622,13,True
157,606,13,True
154,603,13,True
172,643,14,True
165,615,14,True
198,688,16,True
180,647,14,True
181,627,13,True
173,609,12,True
195,610,14,True
172,613,15,True
158,602,14,True
167,616,13,True
184,630,13,True
181,631,13,True
172,610,12,True
170,619,14,True
178,631,11,True
175,603,12,True
208,627,13,True
181,617,11,True
181,646,14,True
169,653,13,True
167,623,13,True
185,613,13,True
184,622,13,True
171,614,13,True
181,637,16,True
216,654,13,True
162,602,18,True
200,770,16,True
167,621,14,True
191,617,11,True
167,631,14,True
180,612,13,True
181,628,15,True
220,803,18,True
427,1442,27,True
172,627,14,True
178,636,13,True
178,620,14,True
188,647,15,True
168,603,14,True
302,945,18,True
219,741,15,True
287,1023,23,True
150,610,14,True
186,630,15,True
182,642,14,True
175,606,13,True
172,611,14,True
178,636,15,True
171,618,14,True
170,633,13,True
162,612,12,True
194,607,11,True
193,664,13,True
213,707,16,True
185,693,14,True
278,1032,21,True
203,616,13,True
155,617,17,True
179,621,11,True
202,632,13,True
184,613,13,True
174,634,13,True
174,622,13,True
183,624,11,True
168,611,11,True
309,1097,19,True
315,1112,24,True
312,1073,20,True
296,1060,20,True
224,700,16,True
165,657,11,True
172,606,13,True
194,657,13,True
175,629,16,True
176,621,14,True
185,605,12,True
285,992,17,True
280,888,16,True
154,624,13,True
161,638,10,True
159,637,10,True
179,645,10,True
175,625,11,True
291,1090,23,True
356,1318,21,True
386,1308,27,True
172,636,12,True
178,622,13,True
192,603,13,True
194,634,12,True
452,1574,27,True
512,1604,35,True
214,767,18,True
178,603,14,True
186,650,14,True
167,624,13,True
183,629,14,True
261,943,16,True
153,622,16,True
178,610,12,True
179,637,11,True
177,628,10,True
185,635,11,True
187,647,14,True
170,613,13,True
181,632,13,True
175,627,14,True
185,638,14,True
169,605,14,True
189,610,12,True
204,666,15,True
165,655,13,True
180,661,12,True
189,640,11,True
173,617,11,True
177,622,12,True
280,841,17,True
306,1048,20,True
164,650,13,True
214,755,12,True
166,621,10,True
171,651,10,True
205,647,13,True
225,737,14,True
178,610,15,True
192,611,13,True
171,610,12,True
191,665,12,True
213,648,16,True
249,904,17,True
177,618,12,True
179,630,15,True
181,606,15,True
181,614,14,True
153,638,13,True
205,789,16,True
209,764,18,True
173,622,14,True
186,613,15,True
178,631,14,True
169,610,13,True
190,604,14,True
173,635,11,True
198,649,12,True
188,642,11,True
197,652,14,True
214,663,14,True
190,621,10,True
250,811,15,True
258,877,16,True
202,830,20,True
354,1091,20,True
194,645,12,True
174,617,15,True
183,652,14,True
174,624,11,True
180,667,15,True
168,639,11,True
173,650,11,True
335,1086,20,True
182,668,13,True
168,603,13,True
176,615,15,True
172,610,14,True
186,614,13,True
187,627,11,True
192,637,12,True
176,636,11,True
178,607,11,True
192,669,12,True
183,643,11,True
354,1237,22,True
313,1024,21,True
220,773,14,True
151,635,13,True
170,641,10,True
179,630,11,True
200,649,14,True
178,608,10,True
391,1361,27,True
470,1601,37,True
215,820,18,True
197,669,13,True
175,625,11,True
194,620,11,True
195,620,11,True
188,650,13,True
197,653,13,True
216,651,15,True
183,636,10,True
207,649,13,True
175,617,11,True
180,646,15,True
166,608,15,True
172,609,15,True
180,640,14,True
256,985,20,True
298,999,24,True
183,630,16,True
210,614,11,True
300,1056,27,True
182,721,13,True
418,1443,30,True
203,757,18,True
321,1138,21,True
290,1008,24,True
204,760,14,True
203,678,15,True
157,612,15,True
162,625,13,True
174,603,13,True
190,652,15,True
146,619,15,True
245,811,18,True
170,659,13,True
240,913,14,True
148,608,16,True
229,855,16,True
165,628,12,True
160,609,13,True
178,646,16,True
453,1593,37,True
310,1114,24,True
175,616,14,True
239,899,18,True
190,646,15,True
204,636,13,True
173,627,13,True
182,642,13,True
197,624,15,True
175,612,13,True
189,644,15,True
180,614,14,True
192,634,15,True
185,654,15,True
194,641,15,True
171,606,15,True
190,616,15,True
186,677,18,True
461,1770,34,True
187,638,17,True
195,612,9,True
174,652,11,True
210,625,13,True
214,628,12,True
213,744,15,True
213,660,12,True
168,602,14,True
162,635,13,True
182,646,15,True
170,602,13,True
184,638,14,True
164,601,14,True
175,623,14,True
184,647,13,True
185,625,13,True
178,638,13,True
175,628,13,True
173,634,14,True
172,614,14,True
192,624,14,True
160,622,14,True
159,604,12,True
313,1192,27,True
163,642,13,True
170,615,13,True
204,657,15,True
165,628,14,True
170,619,14,True
175,643,14,True
179,647,14,True
162,611,12,True
189,651,14,True
180,628,14,True
171,641,14,True
172,619,14,True
180,640,15,True
184,630,14,True
178,633,13,True
187,627,14,True
169,606,13,True
216,794,18,True
174,666,16,True
445,1499,32,True
259,970,21,True
204,683,13,True
367,1271,26,True
315,1083,25,True
149,614,15,True
173,623,13,True
163,611,13,True
171,650,15,True
176,614,13,True
172,631,14,True
172,624,14,True
208,638,10,True
154,608,11,True
172,602,16,True
169,631,13,True
190,652,10,True
175,633,14,True
176,626,14,True
178,641,14,True
165,623,13,True
181,602,15,True
159,603,13,True
174,615,13,True
176,609,13,True
176,604,13,True
177,638,14,True
167,611,13,True
173,641,14,True
167,624,15,True
169,613,13,True
153,625,14,True
168,604,13,True
158,612,12,True
167,631,14,True
176,615,13,True
165,616,13,True
179,654,14,True
193,635,13,True
193,628,14,True
164,611,14,True
177,631,13,True
177,611,14,True
183,624,13,True
187,647,13,True
165,632,11,True
170,629,10,True
163,633,11,True
190,614,12,True
189,604,10,True
199,745,13,True
327,1129,25,True
435,1562,29,True
215,730,19,True
200,644,13,True
185,604,15,True
188,631,12,True
184,614,14,True
498,1739,38,True
153,617,12,True
210,609,12,True
172,612,14,True
187,603,13,True
183,630,15,True
195,617,13,True
198,611,14,True
179,609,14,True
182,636,14,True
181,646,13,True
167,618,12,True
155,622,12,True
175,618,13,True
165,636,14,True
342,1248,25,True
478,1767,36,True
187,712,13,True
338,1190,18,True
151,633,15,True
158,608,14,True
160,601,13,True
183,627,14,True
178,634,14,True
173,642,14,True
166,602,14,True
160,613,14,True
190,638,13,True
173,617,14,True
186,620,13,True
162,617,12,True
173,626,14,True
178,642,14,True
168,644,13,True
182,635,14,True
172,602,13,True
181,619,14,True
166,607,13,True
163,605,11,True
187,620,15,True
187,614,12,True
186,635,14,True
181,601,12,True
193,643,13,True
177,662,13,True
308,927,20,True
174,638,13,True
169,621,13,True
163,648,14,True
175,638,14,True
167,605,13,True
184,618,16,True
156,630,13,True
182,622,13,True
174,608,13,True
164,652,13,True
164,611,14,True
172,616,12,True
178,640,16,True
156,626,15,True
178,621,13,True
172,605,13,True
189,616,13,True
211,636,13,True
173,607,14,True
173,639,14,True
167,618,14,True
192,620,13,True
189,601,13,True
175,620,13,True
174,635,13,True
183,630,13,True
173,606,13,True
178,650,14,True
162,610,13,True
326,1204,25,True
441,1479,27,True
165,619,14,True
195,681,12,True
215,728,15,True
217,684,13,True
202,708,16,True
165,627,12,True
196,616,11,True
183,621,15,True
177,620,12,True
179,630,13,True
154,601,11,True
170,616,14,True
184,617,14,True
183,655,13,True
189,641,12,True
498,1797,37,True
196,698,14,True
170,615,16,True
186,651,13,True
193,627,13,True
181,635,13,True
201,656,13,True
167,618,11,True
180,608,12,True
