n_tokens,n_chars,n_lines,valid_chunk
66,257,6,False
29,97,4,False
288,969,21,True
195,718,15,True
3,17,1,False
299,992,22,True
295,1006,22,True
217,790,20,True
28,85,4,False
293,988,26,True
206,692,15,True
5,12,1,False
294,1003,22,True
291,1006,24,True
117,433,11,False
126,595,13,False
290,1000,24,True
149,491,11,True
5,13,1,False
282,1017,24,True
82,334,7,False
245,895,29,True
296,998,25,True
283,1009,23,True
279,994,22,True
295,999,26,True
286,982,23,True
284,998,22,True
277,1011,24,True
282,995,26,True
282,984,26,True
300,982,20,True
302,1000,21,True
292,969,23,True
252,875,21,True
164,587,18,True
293,1019,23,True
175,627,14,True
282,960,34,True
42,146,5,False
323,1014,22,True
38,124,3,False
3,17,1,False
296,999,24,True
292,986,23,True
279,1017,22,True
217,786,18,True
4,25,1,False
275,965,23,True
271,991,20,True
56,199,4,False
52,182,6,False
279,1020,23,True
312,997,25,True
293,996,26,True
304,1016,26,True
301,1008,26,True
284,1006,20,True
261,988,18,True
87,319,6,False
44,161,5,False
278,973,20,True
318,983,21,True
321,982,22,True
306,973,25,True
300,994,23,True
316,1008,25,True
159,563,13,True
78,279,7,False
295,1014,22,True
65,226,6,False
37,156,3,False
312,994,22,True
286,963,21,True
33,166,3,False
31,126,4,False
289,1002,20,True
83,286,7,False
13,42,1,False
281,995,24,True
299,1011,23,True
170,591,15,True
78,286,11,False
297,998,25,True
292,1004,27,True
199,764,16,True
31,130,5,False
282,985,23,True
253,966,21,True
30,136,5,False
291,1012,20,True
80,292,7,False
33,136,5,False
327,1015,24,True
290,950,23,True
9,29,1,False
289,1003,21,True
334,1002,25,True
275,997,24,True
72,252,6,False
30,138,5,False
295,992,23,True
6,25,1,False
302,992,24,True
251,872,20,True
111,390,12,False
310,1002,24,True
47,128,4,False
237,941,29,True
155,577,17,True
322,1009,25,True
225,827,24,True
283,976,21,True
87,308,6,False
18,82,2,False
328,1000,27,True
295,1012,26,True
133,467,11,True
139,481,15,True
298,1002,23,True
214,707,15,True
215,772,20,True
298,1005,24,True
121,425,9,False
142,542,14,True
309,997,25,True
286,1014,24,True
79,271,7,False
160,527,15,True
299,997,23,True
296,991,23,True
281,969,23,True
299,990,24,True
287,964,22,True
277,955,19,True
269,1004,25,True
205,709,20,True
284,981,25,True
305,1012,23,True
34,155,3,False
29,144,5,False
261,1010,22,True
228,763,20,True
89,348,12,False
285,888,25,True
109,411,12,False
268,963,24,True
42,183,6,False
288,957,25,True
137,533,16,True
180,692,19,True
278,994,23,True
223,800,24,True
149,560,16,True
194,676,16,True
313,1017,23,True
146,537,11,True
36,141,5,False
293,1002,25,True
285,910,22,True
257,947,27,True
192,715,19,True
309,1014,22,True
42,147,5,False
298,1005,21,True
239,867,25,True
305,977,23,True
63,205,5,False
4,13,1,False
293,977,24,True
238,799,16,True
5,13,1,False
296,1007,23,True
288,989,23,True
246,857,19,True
169,587,17,True
275,957,24,True
201,769,19,True
169,635,19,True
308,1016,24,True
301,1020,23,True
294,997,23,True
294,982,23,True
160,549,11,True
130,444,13,True
304,1015,24,True
293,1012,25,True
102,366,8,False
8,17,1,False
273,962,22,True
181,641,14,True
172,612,17,True
292,1017,24,True
140,451,11,True
46,193,4,False
304,1009,23,True
184,588,14,True
4,15,1,False
284,1012,24,True
293,998,22,True
234,828,18,True
29,98,2,False
271,980,24,True
296,1007,22,True
289,984,22,True
286,982,21,True
229,854,19,True
6,18,1,False
280,966,23,True
225,726,18,True
261,937,26,True
268,1004,18,True
262,956,19,True
16,38,1,False
